Population;Year;75+;65-74;55-64;45-54;35-44;30-34;25-29;20-24;15-19;5-14;0-4
ARAB;2012;13,3 ;23,2 ;40,1 ;72,4 ;100,5 ;54,9 ;57,4 ;71,0 ;83,7 ;192,9 ;95,9 
JEWISH;2012;204,1 ;199,6 ;318,2 ;310,7 ;375,1 ;207,3 ;216,5 ;207,6 ;205,1 ;474,5 ;290,9 
ARAB;2013;14;23,9;42,6;75,2;103,2;54,9;58,9;74,2;86,3;193,5;96,7
JEWISH;2013;208,9;210,1;318,1;310,7;384,1;210,5;216,1;207,5;208;487,2;298,5
ARAB;2014;14,6 ;24,5 ;45,6 ;78,1 ;105,4 ;55,1 ;61,2 ;76,9 ;89,1 ;193,9 ;97,1 
JEWISH;2014;213,2 ;220,4 ;320,0 ;312,7 ;391,6 ;214,1 ;215,3 ;207,9 ;211,7 ;501,4 ;305,1 
ARAB;2015;15,3 ;25,5 ;48,6 ;81,0 ;107,0 ;55,5 ;64,3 ;79,2 ;91,8 ;194,4 ;97,3 
JEWISH;2015;216,4 ;232,9 ;321,0 ;316,1 ;399,0 ;216,7 ;214,4 ;208,5 ;216,5 ;516,9 ;311,2 
ARAB;2016;16,0 ;27,2 ;51,2 ;83,9 ;108,2 ;56,3 ;67,8 ;81,6 ;94,4 ;194,3 ;98,0 
JEWISH;2016;218,6 ;247,1 ;319,9 ;321,9 ;405,1 ;218,7 ;213,5 ;209,8 ;221,4 ;532,4 ;316,7 
ARAB;2017;16,8 ;28,7 ;54,2 ;86,8 ;109,2 ;57,5 ;71,2 ;84,0 ;96,8 ;194,0 ;99,2 
JEWISH;2017;219,9 ;262,5 ;317,3 ;329,2 ;410,6 ;219,5 ;213,0 ;212,0 ;225,7 ;547,9 ;321,2 
ARAB;2018;17,8 ;30,1 ;57,4 ;89,6 ;110,2 ;59,0 ;74,4 ;86,6 ;98,9 ;193,4 ;100,9 
JEWISH;2018;221,0 ;277,6 ;314,6 ;337,2 ;416,6 ;219,2 ;213,0 ;215,0 ;230,6 ;562,4 ;325,1 
ARAB;2019;18,8 ;31,5 ;60,8 ;92,1 ;111,0 ;61,2 ;77,1 ;89,2 ;99,8 ;193,4 ;102,7 
JEWISH;2019;223,0 ;290,7 ;312,6 ;346,5 ;422,0 ;218,4 ;213,4 ;218,5 ;236,4 ;576,1 ;327,8 
ARAB;2020;19,9 ;33,1 ;64,3 ;94,6 ;111,5 ;64,3 ;79,4 ;91,9 ;99,6 ;194,6 ;103,9 
JEWISH;2020;227,2 ;301,1 ;311,1 ;356,8 ;426,1 ;217,3 ;213,9 ;222,9 ;241,9 ;590,4 ;327,5 
ARAB;2021;21,0 ;34,8 ;67,6 ;97,2 ;111,9 ;67,9 ;81,8 ;94,5 ;98,7 ;196,3 ;104,7 
JEWISH;2021;235,6 ;306,9 ;310,6 ;367,9 ;429,0 ;216,2 ;214,6 ;227,3 ;248,0 ;604,4 ;327,1 
ARAB;2022;22,0 ;36,7 ;70,7 ;100,1 ;112,7 ;71,3 ;84,1 ;97,0 ;97,5 ;198,6 ;105,1 
JEWISH;2022;248,7 ;308,3 ;311,0 ;379,4 ;432,0 ;216,0 ;216,6 ;231,4 ;255,5 ;617,5 ;327,1 
ARAB;2023;23,6 ;38,6 ;72,6 ;103,8 ;116,5 ;74,1 ;85,8 ;97,4 ;96,5 ;199,0 ;103,2 
JEWISH;2023;273,2 ;309,3 ;311,9 ;383,7 ;420,9 ;214,4 ;218,1 ;236,5 ;261,1 ;625,8 ;329,1 
