Population (Females);Year;75+;65-74;55-64;45-54;35-44;30-34;25-29;20-24;15-19;5-14;0-4
ARAB;2018;17,8 ;30,1 ;57,4 ;89,6 ;110,2 ;59,0 ;74,4 ;86,6 ;98,9 ;193,4 ;100,9 
JEWISH;2018;221,0 ;277,6 ;314,6 ;337,2 ;416,6 ;219,2 ;213,0 ;215,0 ;230,6 ;562,4 ;325,1 
ARAB;2019;18,8 ;31,5 ;60,8 ;92,1 ;111,0 ;61,2 ;77,1 ;89,2 ;99,8 ;193,4 ;102,7 
JEWISH;2019;223,0 ;290,7 ;312,6 ;346,5 ;422,0 ;218,4 ;213,4 ;218,5 ;236,4 ;576,1 ;327,8 
ARAB;2020;19,9 ;33,1 ;64,3 ;94,6 ;111,5 ;64,3 ;79,4 ;91,9 ;99,6 ;194,6 ;103,9 
JEWISH;2020;227,2 ;301,1 ;311,1 ;356,8 ;426,1 ;217,3 ;213,9 ;222,9 ;241,9 ;590,4 ;327,5 
ARAB;2021;21,0 ;34,8 ;67,6 ;97,2 ;111,9 ;67,9 ;81,8 ;94,5 ;98,7 ;196,3 ;104,7 
JEWISH;2021;235,6 ;306,9 ;310,6 ;367,9 ;429,0 ;216,2 ;214,6 ;227,3 ;248,0 ;604,4 ;327,1 
ARAB;2022;22,0 ;36,7 ;70,7 ;100,1 ;112,7 ;71,3 ;84,1 ;97,0 ;97,5 ;198,6 ;105,1 
JEWISH;2022;248,7 ;308,3 ;311,0 ;379,4 ;432,0 ;216,0 ;216,6 ;231,4 ;255,5 ;617,5 ;327,1 
ARAB;2023;23,6 ;38,6 ;72,6 ;103,8 ;116,5 ;74,1 ;85,8 ;97,4 ;96,5 ;199,0 ;103,2 
JEWISH;2023;273,2 ;309,3 ;311,9 ;383,7 ;420,9 ;214,4 ;218,1 ;236,5 ;261,1 ;625,8 ;329,1 
